"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"Reappraisal","~","Decentering","a",0.294609559800687,0.0180999885111414,16.2767815912889,0,0.259134234198261,0.330084885403113,0.294609559800687,0.487707380737131,0.197148942597786
"Wellbeing","~","Reappraisal","b",0.76287876721273,0.0652045469500086,11.6997786641723,0,0.635080203562462,0.890677330862998,0.76287876721273,0.407413090924942,0.407413090924942
"Wellbeing","~","Decentering","c",0.231258852866691,0.0400579159244777,5.77311244306095,7.78204722884368e-09,0.152746780358982,0.309770925374401,0.231258852866691,0.204451505038935,0.0826466845140429
"Reappraisal","~~","Reappraisal","",1.70192486255122,0.0852927813159523,19.9539144613743,0,1.5347540830307,1.86909564207173,1.70192486255122,0.762141510774527,0.762141510774527
"Wellbeing","~~","Wellbeing","",5.56665835796056,0.295906219170872,18.8122384637887,0,4.98669282558423,6.14662389033688,5.56665835796056,0.710965793245588,0.710965793245588
"Decentering","~~","Decentering","",6.11969463473609,0,NA,NA,6.11969463473609,6.11969463473609,6.11969463473609,1,6.11969463473609
"Reappraisal","~1","","",1.70165854477029,0.162192566965876,10.4915938911572,0,1.38376695495707,2.0195501345835,1.70165854477029,1.13872809487551,1.13872809487551
"Wellbeing","~1","","",0.567069887029731,0.331795727495814,1.70909339704166,0.0874336504911462,-0.0832377890863304,1.21737756314579,0.567069887029731,0.202657954365,0.202657954365
"Decentering","~1","","",8.58648925281474,0,NA,NA,8.58648925281474,8.58648925281474,8.58648925281474,3.47096915831193,8.58648925281474
"Indirect",":=","a*b","Indirect",0.224751377789833,0.0226021509541806,9.94380482837463,0,0.180451975946502,0.269050779633165,0.224751377789833,0.198698371453022,0.0803210600763478
"Total",":=","c+(a*b)","Total",0.456010230656525,0.0376667414657559,12.1064422594426,0,0.382184773968662,0.529835687344387,0.456010230656525,0.403149876491957,0.162967744590391
